"filename", "language", "Java", "XML", "Java Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\UserBadges.class", "Java", 125, 0, 0, 0, 0, 0, 125
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\UserFollowers.class", "Java", 48, 0, 0, 0, 0, 0, 48
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\UserFollowings.class", "Java", 48, 0, 0, 0, 0, 0, 48
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\UserFriends.class", "Java", 47, 0, 0, 0, 0, 0, 47
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\UserGroupsJson.class", "Java", 73, 0, 0, 0, 0, 0, 73
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\UserJson.class", "Java", 47, 0, 0, 0, 0, 0, 47
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\UserOutfits.class", "Java", 52, 0, 0, 0, 0, 0, 52
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\UserUsernames.class", "Java", 31, 0, 0, 0, 0, 0, 31
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\structs\CustomObjectMapper.class", "Java", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\structs\DateDeserializer.class", "Java", 25, 0, 0, 0, 0, 0, 25
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\structs\ThumbnailRequest.class", "Java", 14, 0, 0, 0, 0, 0, 14
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\entities\Asset.class", "Java", 50, 0, 0, 0, 0, 0, 50
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\entities\Avatar.class", "Java", 30, 0, 0, 0, 0, 0, 30
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\entities\Badge.class", "Java", 31, 0, 0, 0, 0, 0, 31
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\entities\Group.class", "Java", 30, 0, 0, 0, 0, 0, 30
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\entities\Outfit.class", "Java", 18, 0, 0, 0, 0, 0, 18
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\entities\User.class", "Java", 95, 0, 0, 0, 0, 0, 95
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\entities\UserInGroup.class", "Java", 14, 0, 0, 0, 0, 0, 14
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\enums\AssetTypes.class", "Java", 42, 0, 0, 0, 0, 0, 42
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\enums\ThumnailBatch.class", "Java", 22, 0, 0, 0, 0, 0, 22
